n,density,dijkstra_time_mean,dijkstra_time_std,fw_time_mean,fw_time_std,dijkstra_mem_mean,fw_mem_mean
10,0.1,0.0002728666683348517,0.00017675202797647922,0.000335266658415397,2.018190420755093e-05,4269.333333333333,1258.6666666666667
10,0.3,0.00037196665653027594,0.00012544048185037692,0.00031756667885929346,1.2584718633724838e-05,3472.0,1072.0
10,0.7,0.000414433345819513,1.1795295240703274e-05,0.0002713666666143884,3.2252544338014935e-06,3480.0,1072.0
50,0.1,0.011879099998623133,0.0012644809071758155,0.021210299998832245,0.0012582846716712812,115170.66666666667,21306.666666666668
50,0.3,0.013794766661400596,0.0023807830150661237,0.018514900002628565,0.0007385565646880594,114045.33333333333,20560.0
50,0.7,0.020117600011872128,0.0026108510444993872,0.01761886666645296,0.0015582613619825757,114026.66666666667,20560.0
100,0.1,0.051320999986880146,0.0075472429793766605,0.1267781666635225,0.00367056959695796,471722.6666666667,82725.33333333333
100,0.3,0.0759283999990051,0.006250323042082484,0.11891293332640392,0.0014405672036075163,471944.0,82184.0
100,0.7,0.11427943333789396,0.0055339711485452555,0.11231139999775526,0.00287338420899302,471328.0,82184.0
